DIRECTORIO,P6020,P6040,P6051,P5502,P767,P6081,P6083,P1895,P1896,P1897,P1898,P1899,P3175,P1901,P1903,P1904,P1905,P1927
7247560,1,66,1,2.0,,2,2,9.0,7.0,8.0,7.0,7.0,8.0,9.0,0.0,1.0,10.0,10.0
7247560,2,66,2,2.0,47.0,3,2,9.0,6.0,9.0,7.0,5.0,8.0,9.0,0.0,0.0,10.0,10.0
7247570,1,61,1,6.0,,2,2,8.0,4.0,9.0,10.0,7.0,5.0,5.0,5.0,5.0,10.0,7.0
7247578,2,69,1,6.0,45.0,3,3,7.0,8.0,8.0,8.0,8.0,8.0,9.0,2.0,2.0,9.0,9.0
7247584,1,60,1,6.0,,2,2,8.0,8.0,9.0,9.0,8.0,8.0,9.0,5.0,2.0,9.0,4.0
7247585,2,73,1,5.0,,3,3,9.0,6.0,8.0,9.0,8.0,9.0,9.0,2.0,0.0,9.0,5.0
7247600,1,67,1,2.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,0.0,10.0,10.0
7247600,2,60,2,2.0,,2,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7247615,1,64,1,6.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7247617,2,65,5,3.0,20.0,2,2,9.0,4.0,3.0,3.0,3.0,7.0,9.0,6.0,3.0,5.0,5.0
7247621,2,74,6,3.0,60.0,3,3,10.0,5.0,7.0,8.0,4.0,9.0,10.0,0.0,0.0,10.0,8.0
7247626,2,68,1,3.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7247637,1,70,1,6.0,,3,3,6.0,0.0,2.0,7.0,0.0,3.0,3.0,3.0,4.0,5.0,4.0
7247637,2,65,2,6.0,,2,3,6.0,99.0,5.0,4.0,0.0,4.0,10.0,0.0,0.0,10.0,7.0
7247641,1,62,1,2.0,,3,3,10.0,7.0,10.0,10.0,8.0,10.0,4.0,9.0,8.0,10.0,10.0
7247647,2,62,2,2.0,,3,3,8.0,99.0,3.0,8.0,4.0,4.0,8.0,0.0,0.0,9.0,10.0
7247653,1,62,2,2.0,,3,3,8.0,10.0,10.0,10.0,10.0,10.0,9.0,3.0,0.0,10.0,10.0
7247657,1,65,1,6.0,,3,3,6.0,0.0,4.0,3.0,0.0,4.0,5.0,4.0,5.0,6.0,5.0
7247657,2,71,2,6.0,,3,3,7.0,99.0,0.0,5.0,0.0,6.0,7.0,3.0,0.0,10.0,7.0
7247658,1,87,5,3.0,,3,3,1.0,99.0,1.0,2.0,0.0,0.0,6.0,10.0,7.0,7.0,7.0
