DIRECTORIO,P6020,P6040,P6051,P5502,P767,P6081,P6083,P1895,P1896,P1897,P1898,P1899,P3175,P1901,P1903,P1904,P1905,P1927
7348928,2,70,1,3.0,,3,3,7.0,99.0,7.0,6.0,5.0,6.0,7.0,0.0,0.0,6.0,7.0
7348929,1,64,1,2.0,,2,2,8.0,7.0,8.0,7.0,7.0,8.0,8.0,2.0,3.0,9.0,7.0
7348930,1,65,1,2.0,,3,3,3.0,1.0,2.0,6.0,3.0,6.0,3.0,5.0,5.0,7.0,0.0
7348934,1,74,1,2.0,,2,2,8.0,7.0,7.0,8.0,6.0,8.0,2.0,3.0,2.0,7.0,8.0
7348934,2,72,2,2.0,,3,3,8.0,5.0,7.0,8.0,8.0,8.0,7.0,2.0,2.0,8.0,2.0
7348937,1,72,2,2.0,,3,3,8.0,8.0,8.0,9.0,7.0,7.0,8.0,2.0,2.0,8.0,3.0
7348939,1,75,2,2.0,,3,3,5.0,2.0,3.0,6.0,3.0,5.0,6.0,3.0,3.0,5.0,1.0
7348942,2,72,1,3.0,,3,3,6.0,99.0,5.0,6.0,6.0,6.0,6.0,0.0,0.0,7.0,6.0
7348948,2,88,1,3.0,,2,2,7.0,5.0,5.0,5.0,7.0,7.0,7.0,4.0,4.0,6.0,6.0
7348952,1,69,1,3.0,,3,3,8.0,6.0,7.0,8.0,8.0,7.0,8.0,3.0,2.0,7.0,6.0
7348953,1,66,1,4.0,,3,2,6.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,3.0,7.0,7.0
7348956,1,64,1,4.0,,2,3,7.0,1.0,6.0,7.0,3.0,7.0,6.0,3.0,2.0,7.0,2.0
7348969,2,63,1,2.0,35.0,3,2,8.0,1.0,8.0,2.0,0.0,8.0,8.0,1.0,2.0,8.0,8.0
7348969,1,62,2,2.0,35.0,3,3,9.0,1.0,8.0,1.0,2.0,6.0,7.0,3.0,2.0,9.0,9.0
7348970,2,64,1,4.0,,2,2,8.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,7.0,6.0,7.0
7348972,1,61,1,2.0,,2,2,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0
7348973,1,66,1,2.0,,3,2,9.0,8.0,7.0,3.0,4.0,6.0,8.0,1.0,0.0,10.0,8.0
7348973,2,64,2,2.0,,3,2,9.0,8.0,7.0,3.0,5.0,7.0,7.0,1.0,0.0,8.0,8.0
7348991,1,68,1,5.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7348996,1,60,1,2.0,,2,2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7348998,1,60,1,2.0,,2,2,8.0,5.0,8.0,3.0,6.0,8.0,8.0,1.0,0.0,9.0,8.0
7349000,1,60,1,2.0,,2,2,9.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349000,2,60,2,2.0,,2,2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349002,1,63,1,3.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349003,2,66,1,4.0,,3,2,8.0,8.0,8.0,3.0,8.0,7.0,8.0,0.0,0.0,9.0,8.0
7349006,1,72,1,6.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,0.0,10.0,10.0
7349013,2,60,1,2.0,,2,2,8.0,8.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,5.0
7349017,1,60,1,2.0,40.0,3,3,10.0,9.0,9.0,10.0,9.0,9.0,9.0,2.0,2.0,10.0,10.0
7349030,1,66,1,6.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,10.0,10.0
7349032,1,60,1,6.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,0.0,10.0,9.0
7349035,2,71,1,5.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,2.0,10.0,10.0
7349044,1,60,1,5.0,,3,2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349050,1,76,5,5.0,,2,2,8.0,8.0,9.0,9.0,8.0,8.0,8.0,0.0,0.0,8.0,8.0
7349053,1,64,1,2.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349056,1,85,1,3.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349058,2,61,2,6.0,46.0,3,2,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,0.0,10.0,10.0
7349061,2,93,1,3.0,,3,3,8.0,8.0,8.0,8.0,9.0,8.0,8.0,2.0,2.0,8.0,8.0
7349061,1,64,3,5.0,,3,1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,7.0,3.0
7349065,1,65,1,6.0,,2,2,9.0,7.0,10.0,9.0,10.0,9.0,5.0,5.0,5.0,10.0,10.0
7349070,1,69,1,2.0,,2,2,7.0,99.0,4.0,9.0,4.0,6.0,5.0,4.0,4.0,10.0,5.0
7349074,2,69,1,6.0,,2,2,8.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,6.0
7349074,1,65,2,6.0,,2,2,7.0,8.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7349075,1,62,1,5.0,,2,2,10.0,9.0,10.0,9.0,10.0,6.0,5.0,5.0,5.0,10.0,9.0
7349094,1,68,1,5.0,,2,3,8.0,99.0,7.0,6.0,4.0,8.0,7.0,2.0,2.0,8.0,6.0
7349100,2,71,1,3.0,,2,2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349116,2,61,2,2.0,,3,3,10.0,99.0,8.0,7.0,7.0,7.0,8.0,0.0,0.0,10.0,10.0
7349116,1,71,1,2.0,,3,3,10.0,8.0,8.0,8.0,8.0,8.0,10.0,0.0,0.0,10.0,10.0
7349123,1,62,1,4.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349137,1,74,1,2.0,,3,3,7.0,8.0,6.0,8.0,8.0,9.0,9.0,9.0,7.0,9.0,6.0
7349146,1,73,1,4.0,,3,3,8.0,7.0,9.0,9.0,8.0,8.0,9.0,0.0,0.0,9.0,9.0
7349148,1,60,1,3.0,40.0,3,3,7.0,7.0,7.0,6.0,7.0,5.0,7.0,7.0,7.0,8.0,8.0
7349152,1,71,1,6.0,,3,3,8.0,8.0,7.0,9.0,8.0,8.0,8.0,4.0,0.0,8.0,8.0
7349152,2,67,2,6.0,,3,3,9.0,8.0,8.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,9.0
7349162,1,62,1,2.0,,3,3,8.0,99.0,6.0,7.0,7.0,7.0,7.0,2.0,1.0,8.0,8.0
7349163,1,85,2,2.0,38.0,3,3,10.0,10.0,7.0,7.0,10.0,10.0,10.0,0.0,0.0,10.0,8.0
7349165,1,81,1,2.0,,3,3,7.0,99.0,6.0,6.0,5.0,6.0,10.0,0.0,0.0,10.0,6.0
7349168,2,68,1,3.0,,3,2,9.0,9.0,8.0,8.0,9.0,8.0,9.0,4.0,6.0,9.0,8.0
7349174,1,65,1,3.0,,3,3,5.0,4.0,10.0,8.0,7.0,6.0,10.0,3.0,0.0,10.0,5.0
7349175,1,61,1,2.0,21.0,3,3,10.0,6.0,3.0,2.0,10.0,10.0,10.0,7.0,8.0,10.0,8.0
7349176,1,62,1,2.0,,3,3,10.0,6.0,8.0,6.0,7.0,6.0,8.0,0.0,1.0,8.0,7.0
7349179,1,60,2,2.0,,3,3,8.0,6.0,8.0,8.0,7.0,8.0,8.0,1.0,1.0,9.0,8.0
7349179,2,67,1,2.0,,3,3,7.0,7.0,8.0,8.0,8.0,8.0,8.0,2.0,1.0,8.0,8.0
7349185,2,79,1,3.0,,3,3,9.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,8.0,7.0
7349187,2,64,5,3.0,,3,3,8.0,99.0,8.0,8.0,7.0,7.0,8.0,0.0,0.0,9.0,8.0
7349193,1,86,1,4.0,4.0,3,3,10.0,6.0,7.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,8.0
7349194,1,71,1,3.0,,3,3,5.0,1.0,5.0,10.0,6.0,10.0,10.0,0.0,0.0,10.0,6.0
7349198,1,73,1,4.0,5.0,3,3,10.0,7.0,7.0,10.0,8.0,8.0,8.0,3.0,4.0,9.0,8.0
7349206,1,69,1,6.0,,3,3,8.0,7.0,8.0,4.0,5.0,6.0,10.0,0.0,0.0,8.0,8.0
7349206,2,66,2,6.0,,3,3,6.0,99.0,5.0,6.0,5.0,5.0,5.0,0.0,3.0,8.0,8.0
7349211,1,62,1,4.0,29.0,3,2,9.0,8.0,10.0,6.0,8.0,7.0,10.0,5.0,3.0,10.0,7.0
7349222,2,71,1,4.0,37.0,3,3,9.0,99.0,7.0,9.0,9.0,10.0,9.0,0.0,0.0,10.0,10.0
7349226,1,68,1,2.0,,3,3,10.0,5.0,5.0,8.0,8.0,6.0,10.0,0.0,0.0,10.0,6.0
7349228,1,69,1,3.0,59.0,3,3,10.0,7.0,4.0,10.0,7.0,10.0,8.0,10.0,5.0,10.0,7.0
7349231,1,66,1,2.0,30.0,3,2,4.0,3.0,8.0,10.0,4.0,10.0,10.0,5.0,0.0,10.0,7.0
7349253,2,65,1,3.0,,3,3,8.0,7.0,7.0,6.0,7.0,8.0,7.0,5.0,3.0,7.0,7.0
7349265,1,76,1,3.0,,3,3,4.0,2.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0
7349268,2,68,2,2.0,,3,2,7.0,3.0,7.0,8.0,6.0,6.0,7.0,4.0,4.0,10.0,6.0
7349269,1,64,1,6.0,,3,3,8.0,7.0,8.0,6.0,9.0,7.0,2.0,8.0,9.0,7.0,6.0
7349271,2,97,1,5.0,,3,3,10.0,10.0,6.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,9.0
7349283,1,61,1,2.0,,2,3,9.0,2.0,8.0,8.0,8.0,10.0,8.0,5.0,3.0,10.0,7.0
7349283,2,61,2,2.0,,2,2,9.0,1.0,9.0,9.0,8.0,10.0,8.0,6.0,6.0,10.0,7.0
7349286,2,76,1,4.0,,3,3,7.0,99.0,4.0,10.0,10.0,8.0,9.0,7.0,0.0,10.0,5.0
7349289,1,72,1,6.0,,3,3,9.0,10.0,5.0,10.0,8.0,2.0,8.0,0.0,0.0,10.0,10.0
7349289,2,67,2,6.0,,3,3,6.0,10.0,5.0,10.0,10.0,2.0,3.0,3.0,0.0,10.0,9.0
7349303,1,72,1,2.0,,3,3,10.0,3.0,6.0,10.0,4.0,10.0,1.0,8.0,0.0,7.0,2.0
7349304,1,68,1,6.0,,3,2,9.0,3.0,8.0,10.0,9.0,10.0,8.0,5.0,3.0,10.0,8.0
7349304,2,64,2,6.0,,2,3,9.0,1.0,8.0,10.0,9.0,9.0,9.0,7.0,4.0,10.0,8.0
7349307,1,68,1,2.0,,3,3,9.0,3.0,9.0,9.0,10.0,10.0,10.0,6.0,3.0,10.0,9.0
7349307,2,68,2,2.0,,2,3,10.0,4.0,9.0,10.0,10.0,10.0,9.0,5.0,5.0,10.0,9.0
7349312,1,70,1,2.0,,3,3,8.0,99.0,9.0,8.0,4.0,8.0,5.0,7.0,6.0,10.0,7.0
7349312,2,66,2,2.0,44.0,3,3,8.0,99.0,6.0,8.0,7.0,7.0,7.0,4.0,4.0,8.0,8.0
7349313,2,72,1,6.0,,3,3,9.0,8.0,9.0,8.0,6.0,6.0,9.0,2.0,0.0,8.0,8.0
7349313,1,69,2,6.0,,3,3,9.0,7.0,9.0,8.0,7.0,7.0,9.0,1.0,0.0,8.0,7.0
7349321,1,81,1,2.0,35.0,3,3,8.0,7.0,7.0,8.0,5.0,7.0,9.0,1.0,0.0,10.0,8.0
7349321,2,66,2,2.0,35.0,2,2,10.0,5.0,8.0,7.0,7.0,10.0,8.0,2.0,2.0,9.0,8.0
7349323,2,64,1,2.0,40.0,2,2,8.0,99.0,8.0,7.0,0.0,7.0,5.0,7.0,3.0,10.0,8.0
7349331,2,81,5,3.0,,3,3,7.0,2.0,6.0,8.0,6.0,8.0,6.0,0.0,5.0,10.0,10.0
7349333,2,69,5,4.0,,3,3,8.0,99.0,7.0,7.0,6.0,8.0,8.0,0.0,0.0,9.0,8.0
7349340,1,61,1,6.0,,2,3,5.0,2.0,6.0,5.0,2.0,5.0,4.0,0.0,0.0,10.0,7.0
7349345,2,62,1,1.0,35.0,2,2,7.0,5.0,8.0,8.0,8.0,8.0,7.0,2.0,1.0,7.0,7.0
7349345,1,69,2,1.0,2.0,3,3,7.0,4.0,7.0,8.0,8.0,7.0,5.0,5.0,4.0,7.0,6.0
7349348,2,63,1,4.0,,3,3,7.0,4.0,5.0,6.0,6.0,8.0,6.0,4.0,2.0,7.0,5.0
7349352,1,71,1,4.0,30.0,3,3,9.0,4.0,8.0,6.0,0.0,7.0,8.0,4.0,2.0,10.0,8.0
7349356,2,60,1,4.0,30.0,3,3,6.0,5.0,7.0,7.0,4.0,7.0,7.0,4.0,1.0,7.0,6.0
7349357,2,75,1,3.0,,3,3,9.0,99.0,9.0,10.0,0.0,9.0,9.0,0.0,0.0,10.0,9.0
7349360,2,68,1,3.0,20.0,3,3,0.0,1.0,9.0,4.0,2.0,3.0,4.0,5.0,6.0,6.0,0.0
7349362,2,63,1,6.0,5.0,3,3,10.0,7.0,8.0,8.0,8.0,7.0,8.0,0.0,0.0,10.0,10.0
7349363,1,70,1,6.0,,3,3,6.0,5.0,5.0,5.0,5.0,5.0,10.0,0.0,0.0,9.0,8.0
7349363,2,70,2,6.0,,3,3,5.0,5.0,5.0,5.0,3.0,6.0,8.0,5.0,0.0,8.0,7.0
7349364,1,72,1,4.0,,3,3,6.0,4.0,8.0,9.0,6.0,7.0,6.0,3.0,3.0,8.0,6.0
7349366,2,80,1,3.0,,3,3,5.0,5.0,5.0,5.0,5.0,5.0,7.0,2.0,2.0,8.0,7.0
7349367,1,63,1,6.0,,2,2,8.0,7.0,7.0,8.0,7.0,7.0,8.0,3.0,3.0,8.0,7.0
7349367,2,73,2,6.0,,2,2,7.0,8.0,7.0,9.0,7.0,7.0,7.0,3.0,2.0,9.0,8.0
7349368,2,76,1,3.0,,3,3,6.0,7.0,6.0,6.0,6.0,6.0,8.0,0.0,0.0,8.0,8.0
7349369,1,79,1,3.0,,2,2,7.0,3.0,6.0,6.0,7.0,5.0,0.0,0.0,0.0,6.0,8.0
7349370,1,64,1,6.0,,3,2,7.0,5.0,7.0,8.0,7.0,6.0,7.0,3.0,3.0,7.0,7.0
7349373,1,77,1,3.0,,3,3,8.0,8.0,7.0,8.0,8.0,7.0,8.0,2.0,1.0,9.0,7.0
7349374,2,62,1,5.0,,2,2,7.0,99.0,5.0,7.0,7.0,7.0,6.0,0.0,0.0,6.0,7.0
7349381,1,71,1,2.0,,3,3,8.0,6.0,8.0,8.0,6.0,6.0,7.0,2.0,2.0,9.0,6.0
7349384,1,72,1,4.0,,3,3,6.0,6.0,8.0,8.0,6.0,7.0,7.0,3.0,3.0,9.0,5.0
7349386,2,60,1,5.0,,2,2,5.0,99.0,5.0,5.0,6.0,4.0,5.0,0.0,0.0,6.0,6.0
7349388,2,80,1,3.0,,3,3,8.0,6.0,7.0,8.0,5.0,5.0,7.0,5.0,4.0,9.0,7.0
7349391,1,60,1,6.0,,2,2,7.0,6.0,6.0,5.0,6.0,6.0,7.0,0.0,0.0,9.0,9.0
7349394,1,81,1,6.0,,3,3,6.0,6.0,5.0,7.0,4.0,5.0,5.0,5.0,5.0,7.0,5.0
7349394,2,71,2,6.0,,3,3,7.0,5.0,7.0,8.0,5.0,7.0,7.0,4.0,3.0,8.0,6.0
7349399,1,73,1,6.0,,3,3,7.0,6.0,7.0,8.0,6.0,6.0,7.0,4.0,4.0,8.0,6.0
7349399,2,68,2,6.0,,3,3,8.0,4.0,8.0,8.0,4.0,7.0,8.0,2.0,2.0,8.0,7.0
7349401,1,81,1,6.0,,3,3,7.0,5.0,5.0,8.0,4.0,6.0,6.0,5.0,4.0,7.0,5.0
7349401,2,69,2,6.0,,2,2,8.0,4.0,7.0,8.0,4.0,7.0,7.0,4.0,4.0,8.0,6.0
7349404,2,60,1,4.0,56.0,3,3,7.0,5.0,5.0,5.0,5.0,6.0,7.0,2.0,1.0,7.0,7.0
7349406,2,67,1,4.0,,3,3,7.0,7.0,6.0,5.0,6.0,6.0,7.0,2.0,0.0,7.0,8.0
7349412,2,70,1,3.0,,3,3,7.0,5.0,6.0,5.0,5.0,5.0,7.0,2.0,1.0,7.0,7.0
7349412,1,82,7,5.0,,3,3,6.0,5.0,4.0,5.0,4.0,6.0,6.0,2.0,2.0,7.0,6.0
7349412,1,79,7,5.0,,3,3,7.0,5.0,7.0,5.0,6.0,5.0,7.0,2.0,1.0,7.0,7.0
7349413,1,68,1,2.0,,2,2,7.0,6.0,8.0,9.0,8.0,7.0,6.0,8.0,0.0,7.0,6.0
7349414,1,60,1,6.0,,3,2,7.0,8.0,7.0,7.0,8.0,7.0,7.0,0.0,1.0,7.0,7.0
7349415,1,66,1,4.0,,3,3,8.0,6.0,7.0,8.0,8.0,6.0,6.0,6.0,5.0,7.0,5.0
7349426,1,69,1,6.0,,3,3,7.0,5.0,7.0,5.0,5.0,5.0,7.0,2.0,1.0,7.0,7.0
7349426,2,64,2,6.0,,3,3,7.0,5.0,7.0,5.0,5.0,5.0,7.0,2.0,1.0,7.0,7.0
7349429,1,60,1,6.0,,3,3,7.0,8.0,8.0,8.0,7.0,7.0,8.0,1.0,0.0,8.0,7.0
7349431,2,62,1,4.0,,3,3,10.0,10.0,9.0,9.0,10.0,9.0,8.0,6.0,0.0,10.0,10.0
7349432,1,71,1,6.0,,3,3,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,9.0
7349432,2,67,2,6.0,,2,3,10.0,5.0,9.0,8.0,6.0,8.0,8.0,0.0,0.0,8.0,8.0
7349433,2,70,1,3.0,46.0,3,3,7.0,5.0,7.0,5.0,5.0,5.0,7.0,2.0,1.0,7.0,8.0
7349435,1,61,1,6.0,,2,2,8.0,9.0,9.0,9.0,9.0,8.0,8.0,0.0,0.0,8.0,8.0
7349435,2,60,2,6.0,,3,3,8.0,5.0,8.0,9.0,8.0,8.0,8.0,0.0,0.0,7.0,7.0
7349437,2,67,1,4.0,,2,3,8.0,8.0,5.0,8.0,5.0,8.0,7.0,1.0,1.0,7.0,7.0
7349439,2,86,5,3.0,,3,3,10.0,10.0,7.0,8.0,9.0,9.0,10.0,5.0,0.0,10.0,9.0
7349440,1,62,1,6.0,,2,2,8.0,7.0,8.0,6.0,7.0,7.0,7.0,0.0,0.0,7.0,8.0
7349441,2,94,1,3.0,,3,3,9.0,7.0,10.0,10.0,10.0,10.0,7.0,4.0,0.0,10.0,9.0
7349441,2,62,3,5.0,,3,1,10.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,0.0,9.0,7.0
7349443,1,73,1,2.0,,3,3,7.0,5.0,6.0,6.0,5.0,6.0,7.0,2.0,0.0,7.0,7.0
7349443,2,68,2,2.0,,3,3,7.0,5.0,7.0,5.0,6.0,5.0,7.0,2.0,1.0,7.0,7.0
7349447,2,72,1,3.0,,3,3,5.0,6.0,7.0,7.0,6.0,6.0,0.0,8.0,8.0,5.0,3.0
7349451,2,66,2,2.0,,3,3,8.0,5.0,8.0,8.0,5.0,7.0,7.0,1.0,0.0,7.0,7.0
7349456,1,63,1,2.0,,3,3,8.0,8.0,7.0,8.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0
7349459,2,64,1,3.0,,3,3,8.0,5.0,5.0,7.0,7.0,6.0,7.0,2.0,0.0,7.0,7.0
7349460,2,66,1,4.0,30.0,3,3,7.0,6.0,7.0,6.0,6.0,6.0,7.0,2.0,0.0,7.0,8.0
7349468,1,82,1,3.0,,3,3,6.0,6.0,7.0,8.0,7.0,6.0,6.0,3.0,5.0,6.0,6.0
7349469,1,60,1,4.0,30.0,3,3,8.0,8.0,8.0,6.0,8.0,8.0,9.0,3.0,3.0,7.0,8.0
7349471,2,71,1,4.0,,3,3,7.0,3.0,5.0,8.0,4.0,8.0,6.0,6.0,3.0,4.0,5.0
7349474,2,79,1,3.0,,3,3,8.0,4.0,7.0,8.0,4.0,8.0,8.0,3.0,2.0,7.0,8.0
7349480,2,69,1,4.0,,3,3,8.0,5.0,8.0,7.0,6.0,8.0,7.0,4.0,3.0,8.0,8.0
7349485,2,70,1,3.0,,3,3,10.0,10.0,2.0,9.0,10.0,10.0,10.0,0.0,8.0,10.0,1.0
7349486,1,68,1,2.0,,3,3,10.0,4.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349486,2,66,2,2.0,,3,3,10.0,4.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,7.0
7349487,2,67,1,3.0,,3,3,10.0,99.0,7.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,9.0
7349493,1,74,1,2.0,,3,3,10.0,6.0,6.0,10.0,6.0,10.0,10.0,0.0,0.0,10.0,10.0
7349493,2,72,2,2.0,,3,3,5.0,5.0,5.0,10.0,10.0,10.0,4.0,3.0,5.0,10.0,10.0
7349498,1,66,1,2.0,,3,3,9.0,8.0,6.0,10.0,9.0,9.0,9.0,1.0,1.0,9.0,8.0
7349504,2,62,1,2.0,,3,2,9.0,8.0,6.0,10.0,8.0,9.0,9.0,1.0,1.0,9.0,9.0
7349517,1,63,1,2.0,,3,3,10.0,7.0,5.0,10.0,8.0,10.0,6.0,3.0,3.0,10.0,5.0
7349517,2,60,2,2.0,,3,3,10.0,6.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,5.0
7349520,2,62,2,2.0,,3,3,9.0,99.0,7.0,10.0,9.0,9.0,9.0,2.0,2.0,8.0,8.0
7349525,1,80,1,3.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349526,2,78,1,2.0,,3,3,10.0,0.0,7.0,9.0,10.0,10.0,10.0,6.0,4.0,10.0,7.0
7349526,1,78,2,2.0,,3,3,10.0,0.0,7.0,10.0,8.0,10.0,7.0,6.0,0.0,10.0,7.0
7349529,2,76,1,3.0,55.0,3,3,10.0,6.0,8.0,10.0,10.0,10.0,10.0,7.0,0.0,10.0,10.0
7349530,1,80,1,2.0,,3,3,10.0,6.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349530,2,73,2,2.0,,3,3,10.0,7.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349531,1,71,1,6.0,,3,3,8.0,3.0,7.0,9.0,9.0,9.0,10.0,1.0,0.0,10.0,8.0
7349531,2,65,2,6.0,,3,3,8.0,2.0,5.0,8.0,9.0,8.0,2.0,1.0,2.0,9.0,7.0
7349533,1,60,1,6.0,,3,3,9.0,6.0,8.0,10.0,9.0,9.0,10.0,1.0,1.0,9.0,10.0
7349533,1,83,6,3.0,,3,3,9.0,6.0,6.0,10.0,8.0,8.0,9.0,2.0,2.0,9.0,7.0
7349533,1,72,14,5.0,2.0,3,3,8.0,4.0,2.0,8.0,7.0,8.0,8.0,2.0,1.0,9.0,8.0
7349534,2,66,2,2.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,6.0
7349536,1,62,1,2.0,,3,3,8.0,8.0,8.0,8.0,8.0,8.0,10.0,0.0,0.0,10.0,5.0
7349539,2,77,1,3.0,,3,3,10.0,7.0,5.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0
7349541,1,74,7,5.0,,3,3,10.0,6.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349546,1,61,1,2.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,8.0
7349546,1,62,7,3.0,,3,3,10.0,6.0,10.0,7.0,10.0,10.0,10.0,0.0,0.0,10.0,6.0
7349551,2,76,1,3.0,,3,3,10.0,5.0,6.0,10.0,10.0,10.0,6.0,0.0,5.0,10.0,7.0
7349553,2,83,1,4.0,,3,3,10.0,7.0,8.0,4.0,8.0,8.0,10.0,0.0,0.0,10.0,6.0
7349555,2,85,5,3.0,,3,3,9.0,4.0,6.0,10.0,10.0,7.0,7.0,2.0,2.0,2.0,9.0
7349556,1,72,2,6.0,,3,3,10.0,5.0,4.0,10.0,7.0,10.0,5.0,5.0,6.0,10.0,7.0
7349560,1,65,1,2.0,,3,3,7.0,5.0,4.0,9.0,10.0,8.0,10.0,7.0,0.0,10.0,3.0
7349568,2,69,1,2.0,1.0,3,3,8.0,1.0,6.0,9.0,8.0,10.0,10.0,0.0,0.0,10.0,5.0
7349568,1,64,2,2.0,,3,2,7.0,5.0,7.0,8.0,8.0,9.0,10.0,0.0,0.0,10.0,3.0
7349572,1,62,1,6.0,,3,2,8.0,6.0,6.0,7.0,6.0,6.0,8.0,0.0,0.0,8.0,8.0
7349573,2,65,7,5.0,,3,3,10.0,99.0,8.0,5.0,4.0,3.0,7.0,0.0,0.0,10.0,4.0
7349575,2,63,1,2.0,,3,3,8.0,99.0,7.0,8.0,7.0,6.0,8.0,0.0,0.0,9.0,8.0
7349591,2,74,1,3.0,,3,3,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0
7349591,1,77,5,5.0,,3,3,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0
7349599,2,83,1,3.0,,3,3,10.0,4.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,6.0
7349606,1,61,1,2.0,,3,3,8.0,4.0,9.0,9.0,7.0,8.0,8.0,3.0,2.0,9.0,8.0
7349611,1,66,1,3.0,5.0,3,3,8.0,8.0,8.0,10.0,10.0,10.0,8.0,2.0,2.0,10.0,10.0
7349615,2,61,1,2.0,,3,2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0
7349625,1,68,1,4.0,20.0,3,3,8.0,8.0,10.0,10.0,10.0,10.0,10.0,2.0,0.0,10.0,8.0
7349629,2,72,1,3.0,,3,3,10.0,3.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,8.0,5.0
7349632,2,68,1,5.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349632,1,79,7,5.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349632,2,69,9,3.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349634,2,77,1,3.0,,3,3,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0
7349637,1,82,1,2.0,,3,3,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0
7349637,2,68,2,2.0,,3,3,7.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0
7349638,1,78,1,6.0,,3,3,10.0,10.0,10.0,9.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349638,2,69,2,6.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7349646,1,84,1,2.0,,3,3,8.0,7.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,5.0,5.0
7349646,2,79,2,2.0,,3,3,7.0,6.0,6.0,8.0,6.0,5.0,5.0,0.0,0.0,7.0,7.0
